,demand
0,5
1,2
2,3
3,4
4,4
5,4
6,4
7,5
8,2
9,2
10,3
11,1
12,3
13,4
14,1
15,4
16,1
17,5
18,1
19,4
20,5
21,4
22,2
23,4
24,4
25,1
26,2
27,3
28,1
29,4
30,1
31,2
32,5
33,1
34,2
35,1
36,2
37,2
38,1
39,1
40,1
41,4
42,1
43,1
44,2
45,5
46,4
47,5
48,4
49,2
50,4
51,1
52,5
53,4
54,1
55,5
56,5
57,3
58,1
59,1
60,2
61,1
62,2
63,3
64,5
65,5
66,2
67,5
68,2
69,2
70,1
71,1
72,5
73,2
74,1
75,1
76,4
77,5
78,3
79,5
80,1
81,5
82,3
83,3
84,5
85,1
86,1
87,2
88,2
89,3
90,1
91,1
92,4
93,4
94,3
95,5
96,2
97,2
98,4
99,5
100,4
101,5
102,3
103,1
104,1
105,3
106,2
107,2
108,5
109,4
110,3
111,5
112,2
113,2
114,2
115,3
116,1
117,5
118,5
119,1
120,3
121,4
122,5
123,2
124,5
125,1
126,2
127,5
128,3
129,2
130,3
131,5
132,5
133,2
134,3
135,5
136,3
137,4
138,3
139,2
140,3
141,5
142,3
143,2
144,3
145,2
146,4
147,4
148,4
149,1
150,5
151,2
152,5
153,5
154,5
155,2
156,3
157,4
158,5
159,3
160,4
161,2
162,3
163,3
164,4
165,4
166,1
167,1
168,4
169,4
170,1
171,4
172,5
173,1
174,2
175,5
176,5
177,4
178,4
179,5
180,1
181,5
182,4
183,3
184,3
185,4
186,1
187,5
188,3
189,3
190,2
191,5
192,1
193,1
194,3
195,4
196,5
197,1
198,1
199,4
200,5
201,1
202,4
203,1
204,4
205,2
206,3
207,4
208,5
209,4
210,2
211,5
212,5
213,2
214,5
215,5
216,4
217,3
218,2
219,3
220,3
221,1
222,5
223,1
224,1
225,5
226,5
227,2
228,1
229,3
230,4
231,2
232,5
233,3
234,3
235,4
236,5
237,3
238,5
239,1
240,3
241,4
242,3
243,1
244,2
245,4
246,1
247,5
248,4
249,4
250,5
251,1
252,4
253,2
254,4
255,5
256,1
257,2
258,1
259,4
260,5
261,1
262,3
263,5
264,4
265,1
266,4
267,2
268,4
269,3
270,5
271,1
272,3
273,2
274,2
275,4
276,1
277,3
278,5
279,4
280,1
281,1
282,4
283,2
284,3
285,1
286,3
287,5
