,demand
0,1
1,4
2,3
3,5
4,4
5,4
6,3
7,5
8,2
9,1
10,2
11,1
12,5
13,5
14,1
15,3
16,4
17,5
18,5
19,2
20,2
21,2
22,2
23,2
24,5
25,3
26,3
27,3
28,2
29,1
30,4
31,3
32,2
33,3
34,2
35,3
36,3
37,3
38,4
39,3
40,5
41,2
42,2
43,5
44,4
45,5
46,2
47,3
48,4
49,3
50,5
51,3
52,2
53,1
54,4
55,1
56,5
57,1
58,2
59,4
60,2
61,4
62,1
63,5
64,4
65,5
66,4
67,3
68,2
69,5
70,2
71,5
72,1
73,4
74,5
75,5
76,5
77,2
78,4
79,4
80,2
81,3
82,5
83,5
84,3
85,4
86,4
87,1
88,1
89,5
90,4
91,3
92,4
93,1
94,3
95,2
96,1
97,2
98,3
99,1
100,5
101,4
102,4
103,5
104,4
105,4
106,1
107,1
108,5
109,4
110,5
111,1
112,3
113,4
114,2
115,5
116,5
117,4
118,1
119,1
120,4
121,3
122,4
123,2
124,3
125,3
126,1
127,2
128,5
129,1
130,5
131,1
132,2
133,4
134,2
135,4
136,1
137,5
138,3
139,3
140,5
141,5
142,1
143,2
144,4
145,3
146,4
147,2
148,2
149,3
150,2
151,5
152,5
153,1
154,5
155,2
156,4
157,3
158,1
159,4
160,3
161,5
162,1
163,4
164,3
165,2
166,4
167,2
168,2
169,2
170,3
171,5
172,4
173,2
174,4
175,1
176,2
177,2
178,2
179,1
180,2
181,4
182,1
183,5
184,4
185,1
186,1
187,1
188,1
189,4
190,2
191,5
192,5
193,5
194,3
195,5
196,3
197,5
198,2
199,1
200,3
201,3
202,5
203,5
204,5
205,5
206,2
207,1
208,3
209,3
210,3
211,1
212,5
213,3
214,2
215,1
216,1
217,4
218,3
219,3
220,2
221,4
222,2
223,3
224,4
225,2
226,5
227,2
228,2
229,5
230,1
231,3
232,2
233,3
234,4
235,4
236,3
237,4
238,3
239,3
240,2
241,5
242,4
243,1
244,2
245,1
246,3
247,5
248,2
249,2
250,1
251,3
252,5
253,3
254,3
255,2
256,4
257,5
258,5
259,3
260,4
261,4
262,4
263,1
264,1
265,3
266,4
267,2
268,3
269,5
270,1
271,5
272,5
273,4
274,2
275,1
276,4
277,5
278,3
279,1
280,1
281,4
282,1
283,3
284,5
285,3
286,5
287,4
