,demand
0,4
1,1
2,1
3,3
4,1
5,2
6,4
7,3
8,3
9,1
10,2
11,1
12,1
13,1
14,1
15,4
16,5
17,5
18,5
19,2
20,2
21,1
22,1
23,2
24,5
25,4
26,2
27,4
28,2
29,4
30,5
31,1
32,4
33,2
34,5
35,3
36,4
37,4
38,4
39,1
40,2
41,5
42,2
43,5
44,1
45,4
46,2
47,1
48,1
49,1
50,1
51,5
52,5
53,2
54,5
55,2
56,1
57,2
58,2
59,4
60,2
61,5
62,5
63,3
64,1
65,5
66,4
67,5
68,5
69,2
70,1
71,3
72,4
73,1
74,4
75,3
76,4
77,3
78,4
79,5
80,1
81,2
82,2
83,5
84,5
85,1
86,2
87,3
88,1
89,1
90,3
91,1
92,2
93,4
94,5
95,3
96,4
97,1
98,2
99,5
100,4
101,5
102,2
103,1
104,1
105,5
106,1
107,4
108,4
109,1
110,3
111,3
112,3
113,2
114,2
115,4
116,3
117,3
118,3
119,3
120,2
121,3
122,3
123,2
124,4
125,5
126,2
127,4
128,2
129,1
130,3
131,3
132,4
133,1
134,4
135,2
136,3
137,2
138,2
139,4
140,5
141,1
142,1
143,5
144,3
145,4
146,5
147,2
148,5
149,2
150,1
151,5
152,1
153,2
154,5
155,5
156,3
157,1
158,2
159,5
160,1
161,2
162,5
163,5
164,3
165,3
166,2
167,2
168,5
169,5
170,4
171,1
172,2
173,4
174,2
175,1
176,5
177,2
178,1
179,3
180,4
181,5
182,2
183,1
184,1
185,4
186,5
187,4
188,2
189,3
190,1
191,2
192,3
193,3
194,1
195,5
196,4
197,2
198,3
199,5
200,3
201,2
202,1
203,4
204,4
205,3
206,4
207,4
208,3
209,1
210,3
211,5
212,4
213,2
214,4
215,2
216,5
217,5
218,2
219,1
220,2
221,4
222,4
223,5
224,5
225,5
226,2
227,1
228,3
229,4
230,5
231,5
232,3
233,5
234,5
235,3
236,4
237,2
238,3
239,1
240,2
241,5
242,1
243,3
244,2
245,2
246,4
247,2
248,2
249,1
250,4
251,4
252,1
253,5
254,4
255,1
256,3
257,4
258,4
259,5
260,5
261,4
262,1
263,4
264,1
265,1
266,3
267,3
268,2
269,1
270,4
271,4
272,4
273,5
274,1
275,3
276,4
277,1
278,3
279,2
280,4
281,3
282,3
283,5
284,4
285,4
286,4
287,5
