,demand
0,2
1,3
2,5
3,4
4,4
5,1
6,4
7,2
8,5
9,3
10,2
11,1
12,2
13,3
14,4
15,1
16,3
17,2
18,2
19,3
20,1
21,2
22,4
23,5
24,2
25,2
26,2
27,2
28,2
29,5
30,5
31,4
32,1
33,4
34,2
35,3
36,5
37,2
38,4
39,4
40,3
41,4
42,2
43,5
44,5
45,1
46,1
47,5
48,1
49,4
50,2
51,5
52,5
53,2
54,1
55,1
56,1
57,3
58,1
59,1
60,5
61,2
62,1
63,2
64,3
65,4
66,1
67,2
68,1
69,1
70,3
71,2
72,2
73,3
74,1
75,1
76,5
77,2
78,1
79,2
80,5
81,3
82,3
83,4
84,4
85,2
86,2
87,1
88,2
89,3
90,1
91,1
92,1
93,2
94,2
95,5
96,4
97,5
98,4
99,2
100,5
101,2
102,5
103,5
104,5
105,3
106,5
107,2
108,4
109,2
110,4
111,4
112,4
113,1
114,5
115,1
116,3
117,4
118,3
119,5
120,1
121,5
122,1
123,4
124,4
125,3
126,3
127,2
128,4
129,4
130,3
131,5
132,2
133,1
134,1
135,3
136,3
137,2
138,5
139,3
140,4
141,4
142,4
143,4
144,1
145,4
146,3
147,4
148,4
149,4
150,1
151,3
152,2
153,4
154,5
155,5
156,5
157,5
158,4
159,4
160,5
161,5
162,5
163,5
164,4
165,4
166,4
167,4
168,1
169,2
170,5
171,3
172,4
173,4
174,3
175,2
176,5
177,1
178,3
179,1
180,4
181,2
182,5
183,4
184,1
185,2
186,3
187,3
188,2
189,4
190,2
191,3
192,1
193,5
194,3
195,2
196,3
197,5
198,3
199,4
200,1
201,1
202,4
203,5
204,2
205,4
206,4
207,5
208,2
209,1
210,5
211,1
212,3
213,4
214,4
215,3
216,2
217,3
218,3
219,5
220,4
221,1
222,4
223,4
224,2
225,4
226,2
227,2
228,4
229,2
230,1
231,1
232,1
233,5
234,5
235,2
236,1
237,5
238,4
239,4
240,4
241,2
242,2
243,5
244,5
245,2
246,4
247,4
248,2
249,1
250,1
251,2
252,1
253,3
254,4
255,1
256,3
257,2
258,5
259,2
260,1
261,2
262,4
263,1
264,2
265,4
266,1
267,2
268,2
269,2
270,3
271,4
272,4
273,4
274,5
275,1
276,3
277,2
278,2
279,1
280,5
281,1
282,4
283,4
284,4
285,5
286,1
287,4
