,demand
0,3
1,2
2,5
3,3
4,3
5,1
6,1
7,2
8,4
9,5
10,5
11,4
12,2
13,3
14,2
15,5
16,4
17,2
18,3
19,3
20,3
21,2
22,1
23,5
24,4
25,1
26,2
27,4
28,4
29,3
30,2
31,5
32,2
33,4
34,2
35,5
36,1
37,3
38,1
39,1
40,1
41,5
42,2
43,2
44,5
45,4
46,1
47,1
48,1
49,4
50,1
51,2
52,2
53,1
54,1
55,3
56,3
57,2
58,5
59,2
60,2
61,1
62,3
63,1
64,2
65,1
66,4
67,3
68,5
69,1
70,5
71,1
72,5
73,5
74,5
75,3
76,5
77,2
78,5
79,5
80,5
81,3
82,5
83,2
84,1
85,3
86,1
87,5
88,3
89,5
90,1
91,4
92,1
93,3
94,1
95,5
96,4
97,5
98,4
99,1
100,3
101,2
102,4
103,4
104,5
105,4
106,4
107,3
108,2
109,3
110,1
111,3
112,4
113,5
114,2
115,3
116,4
117,4
118,3
119,1
120,5
121,5
122,2
123,3
124,5
125,2
126,3
127,5
128,2
129,2
130,3
131,2
132,5
133,2
134,4
135,5
136,1
137,3
138,2
139,2
140,5
141,1
142,3
143,3
144,2
145,4
146,5
147,4
148,5
149,4
150,3
151,4
152,4
153,4
154,2
155,1
156,4
157,1
158,2
159,3
160,5
161,3
162,2
163,1
164,1
165,2
166,5
167,5
168,4
169,5
170,2
171,3
172,2
173,3
174,2
175,5
176,5
177,4
178,2
179,3
180,2
181,5
182,1
183,5
184,5
185,3
186,2
187,4
188,2
189,3
190,5
191,4
192,5
193,2
194,4
195,3
196,1
197,3
198,3
199,5
200,3
201,5
202,2
203,2
204,2
205,1
206,4
207,5
208,3
209,3
210,4
211,1
212,2
213,4
214,2
215,3
216,3
217,3
218,1
219,2
220,4
221,4
222,2
223,4
224,4
225,4
226,5
227,3
228,2
229,4
230,1
231,3
232,5
233,4
234,4
235,1
236,5
237,5
238,5
239,4
240,1
241,4
242,1
243,3
244,5
245,1
246,2
247,4
248,4
249,1
250,5
251,1
252,5
253,5
254,4
255,3
256,4
257,4
258,4
259,5
260,3
261,4
262,3
263,2
264,3
265,1
266,1
267,5
268,5
269,1
270,5
271,5
272,4
273,2
274,1
275,1
276,5
277,2
278,1
279,3
280,1
281,3
282,2
283,3
284,4
285,2
286,2
287,2
