,demand
0,2
1,2
2,5
3,3
4,3
5,1
6,5
7,5
8,5
9,1
10,1
11,4
12,2
13,2
14,4
15,2
16,3
17,1
18,1
19,4
20,5
21,2
22,4
23,5
24,3
25,1
26,2
27,1
28,2
29,5
30,3
31,3
32,3
33,5
34,2
35,4
36,3
37,1
38,5
39,2
40,2
41,1
42,1
43,5
44,5
45,2
46,2
47,5
48,3
49,5
50,1
51,5
52,2
53,3
54,2
55,1
56,1
57,4
58,3
59,1
60,1
61,4
62,5
63,1
64,5
65,4
66,5
67,1
68,4
69,1
70,2
71,2
72,4
73,4
74,3
75,1
76,3
77,1
78,1
79,2
80,1
81,5
82,3
83,3
84,2
85,5
86,5
87,4
88,2
89,1
90,2
91,4
92,3
93,1
94,5
95,2
96,5
97,3
98,1
99,5
100,5
101,3
102,5
103,5
104,2
105,1
106,2
107,4
108,5
109,4
110,2
111,1
112,3
113,5
114,4
115,1
116,1
117,2
118,1
119,3
120,5
121,5
122,2
123,4
124,4
125,2
126,3
127,5
128,3
129,1
130,3
131,5
132,5
133,1
134,5
135,2
136,5
137,4
138,4
139,2
140,2
141,3
142,4
143,4
144,1
145,4
146,2
147,5
148,1
149,2
150,3
151,2
152,5
153,1
154,4
155,2
156,1
157,2
158,3
159,5
160,5
161,5
162,5
163,3
164,4
165,3
166,3
167,4
168,3
169,3
170,5
171,2
172,3
173,3
174,1
175,5
176,3
177,3
178,3
179,1
180,1
181,5
182,1
183,5
184,1
185,5
186,4
187,5
188,3
189,5
190,4
191,1
192,1
193,2
194,3
195,2
196,4
197,5
198,2
199,5
200,1
201,1
202,3
203,4
204,1
205,3
206,3
207,2
208,4
209,2
210,2
211,1
212,5
213,5
214,5
215,5
216,1
217,4
218,5
219,3
220,5
221,5
222,5
223,5
224,2
225,4
226,1
227,2
228,3
229,2
230,1
231,1
232,1
233,3
234,1
235,5
236,5
237,1
238,3
239,3
240,1
241,2
242,5
243,4
244,4
245,1
246,5
247,1
248,3
249,1
250,4
251,5
252,2
253,5
254,3
255,5
256,3
257,5
258,1
259,3
260,2
261,1
262,4
263,4
264,1
265,2
266,5
267,2
268,2
269,3
270,2
271,3
272,5
273,5
274,3
275,1
276,2
277,1
278,1
279,2
280,3
281,4
282,1
283,4
284,1
285,2
286,4
287,2
