,demand
0,5
1,4
2,2
3,3
4,2
5,3
6,1
7,1
8,1
9,2
10,1
11,5
12,2
13,2
14,2
15,2
16,4
17,3
18,4
19,5
20,4
21,3
22,3
23,1
24,5
25,1
26,1
27,1
28,1
29,3
30,3
31,3
32,1
33,2
34,3
35,1
36,4
37,4
38,1
39,5
40,2
41,2
42,3
43,3
44,1
45,4
46,1
47,5
48,4
49,4
50,2
51,1
52,3
53,5
54,3
55,2
56,1
57,2
58,3
59,4
60,3
61,4
62,1
63,5
64,3
65,1
66,3
67,5
68,4
69,2
70,5
71,3
72,4
73,2
74,2
75,1
76,2
77,5
78,5
79,4
80,2
81,2
82,4
83,3
84,3
85,2
86,3
87,1
88,5
89,1
90,3
91,3
92,1
93,4
94,1
95,2
96,4
97,1
98,3
99,2
100,3
101,4
102,1
103,1
104,2
105,2
106,3
107,2
108,5
109,5
110,4
111,5
112,5
113,5
114,2
115,5
116,4
117,3
118,4
119,2
120,3
121,3
122,1
123,5
124,1
125,2
126,3
127,4
128,5
129,4
130,3
131,2
132,1
133,2
134,4
135,4
136,5
137,4
138,5
139,4
140,4
141,5
142,1
143,5
144,1
145,1
146,4
147,4
148,4
149,2
150,4
151,2
152,2
153,4
154,1
155,3
156,4
157,2
158,2
159,4
160,4
161,5
162,4
163,2
164,2
165,3
166,4
167,4
168,4
169,1
170,5
171,2
172,2
173,2
174,3
175,2
176,3
177,4
178,2
179,4
180,1
181,1
182,4
183,3
184,1
185,1
186,4
187,4
188,5
189,3
190,5
191,5
192,3
193,4
194,4
195,5
196,4
197,3
198,5
199,2
200,2
201,3
202,2
203,1
204,1
205,3
206,4
207,1
208,4
209,5
210,4
211,3
212,1
213,2
214,4
215,3
216,4
217,4
218,5
219,2
220,1
221,2
222,3
223,5
224,3
225,2
226,2
227,2
228,5
229,2
230,3
231,5
232,4
233,3
234,2
235,4
236,4
237,3
238,3
239,3
240,4
241,3
242,3
243,2
244,4
245,5
246,5
247,5
248,2
249,5
250,1
251,2
252,3
253,3
254,5
255,1
256,5
257,3
258,4
259,1
260,3
261,4
262,4
263,2
264,5
265,4
266,5
267,4
268,2
269,2
270,2
271,2
272,1
273,4
274,4
275,5
276,3
277,1
278,5
279,4
280,3
281,1
282,5
283,2
284,5
285,2
286,4
287,3
