,demand
0,3
1,4
2,1
3,3
4,2
5,4
6,1
7,1
8,4
9,3
10,1
11,1
12,5
13,2
14,3
15,4
16,2
17,4
18,4
19,3
20,1
21,3
22,4
23,3
24,1
25,2
26,4
27,2
28,4
29,5
30,1
31,1
32,4
33,4
34,3
35,4
36,5
37,3
38,2
39,1
40,3
41,2
42,2
43,3
44,2
45,3
46,5
47,5
48,4
49,4
50,3
51,1
52,3
53,5
54,1
55,5
56,1
57,1
58,3
59,4
60,4
61,2
62,5
63,3
64,4
65,1
66,4
67,1
68,4
69,4
70,3
71,1
72,3
73,3
74,1
75,2
76,4
77,1
78,2
79,5
80,5
81,4
82,2
83,1
84,1
85,2
86,5
87,2
88,1
89,5
90,2
91,5
92,5
93,3
94,5
95,3
96,3
97,1
98,5
99,2
100,4
101,5
102,2
103,4
104,5
105,5
106,4
107,1
108,5
109,4
110,5
111,5
112,3
113,5
114,4
115,1
116,2
117,1
118,2
119,1
120,5
121,3
122,4
123,4
124,2
125,4
126,5
127,5
128,4
129,5
130,3
131,4
132,5
133,1
134,2
135,4
136,5
137,5
138,4
139,3
140,1
141,4
142,2
143,1
144,3
145,3
146,5
147,5
148,4
149,5
150,4
151,2
152,5
153,1
154,5
155,1
156,4
157,4
158,5
159,3
160,2
161,5
162,1
163,4
164,4
165,3
166,3
167,5
168,4
169,3
170,2
171,1
172,3
173,3
174,2
175,4
176,5
177,1
178,3
179,4
180,3
181,3
182,3
183,4
184,3
185,3
186,3
187,2
188,4
189,1
190,1
191,4
192,1
193,1
194,1
195,3
196,4
197,5
198,2
199,5
200,4
201,4
202,3
203,4
204,2
205,5
206,5
207,4
208,5
209,2
210,4
211,1
212,4
213,5
214,5
215,5
216,1
217,3
218,1
219,2
220,3
221,5
222,4
223,2
224,2
225,2
226,2
227,1
228,2
229,2
230,5
231,4
232,5
233,2
234,4
235,5
236,2
237,4
238,2
239,4
240,1
241,4
242,3
243,1
244,5
245,1
246,2
247,4
248,5
249,5
250,3
251,2
252,5
253,5
254,4
255,4
256,4
257,2
258,3
259,5
260,3
261,5
262,2
263,3
264,3
265,1
266,4
267,3
268,5
269,3
270,3
271,3
272,4
273,1
274,2
275,5
276,1
277,1
278,5
279,3
280,1
281,1
282,2
283,4
284,2
285,4
286,3
287,4
