,demand
0,7
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,8
9,0
10,0
11,0
12,10
13,0
14,6
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,7
25,0
26,0
27,0
28,0
29,0
30,8
31,0
32,7
33,6
34,0
35,0
36,0
37,0
38,8
39,8
40,0
41,0
42,0
43,0
44,8
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,10
58,0
59,0
60,0
61,0
62,0
63,0
64,7
65,0
66,0
67,0
68,0
69,0
70,0
71,6
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,7
82,0
83,8
84,0
85,0
86,0
87,0
88,0
89,6
90,0
91,0
92,0
93,0
94,0
95,9
96,10
97,0
98,0
99,0
100,0
101,0
102,0
103,9
104,0
105,0
106,8
107,9
108,0
109,0
110,0
111,0
112,0
113,0
114,10
115,0
116,0
117,0
118,0
119,7
120,0
121,0
122,0
123,0
124,0
125,0
126,7
127,7
128,0
129,0
130,0
131,0
132,9
133,0
134,0
135,0
136,0
137,0
138,0
139,8
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,9
148,0
149,10
150,9
151,0
152,0
153,0
154,0
155,0
156,0
157,10
158,7
159,0
160,6
161,0
162,0
163,10
164,9
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,8
184,6
185,0
186,0
187,0
188,0
189,0
190,6
191,0
192,0
193,0
194,0
195,0
196,0
197,9
198,8
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,8
217,9
218,7
219,7
220,0
221,0
222,9
223,7
224,0
225,7
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,8
237,8
238,0
239,0
240,0
241,10
242,10
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,8
258,0
259,10
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,10
269,0
270,0
271,6
272,9
273,0
274,0
275,0
276,6
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,6
285,10
286,0
287,0
