,demand
0,1
1,3
2,3
3,3
4,2
5,3
6,3
7,1
8,3
9,4
10,4
11,2
12,3
13,3
14,4
15,3
16,5
17,3
18,5
19,4
20,4
21,3
22,5
23,5
24,1
25,1
26,2
27,2
28,4
29,4
30,3
31,3
32,2
33,2
34,3
35,5
36,5
37,3
38,4
39,4
40,1
41,2
42,3
43,2
44,5
45,5
46,3
47,4
48,2
49,5
50,3
51,4
52,2
53,4
54,2
55,5
56,2
57,2
58,1
59,3
60,2
61,4
62,3
63,4
64,5
65,4
66,4
67,5
68,5
69,5
70,1
71,4
72,2
73,3
74,5
75,2
76,2
77,3
78,3
79,3
80,3
81,1
82,2
83,2
84,5
85,4
86,5
87,3
88,1
89,4
90,5
91,2
92,5
93,4
94,5
95,3
96,5
97,5
98,1
99,5
100,4
101,2
102,1
103,1
104,4
105,2
106,4
107,5
108,3
109,4
110,3
111,2
112,3
113,2
114,5
115,3
116,1
117,3
118,4
119,1
120,5
121,2
122,1
123,3
124,3
125,5
126,3
127,2
128,5
129,3
130,5
131,4
132,5
133,5
134,5
135,1
136,3
137,5
138,3
139,4
140,1
141,4
142,4
143,4
144,3
145,1
146,3
147,5
148,4
149,5
150,1
151,1
152,3
153,4
154,3
155,2
156,4
157,2
158,3
159,5
160,3
161,1
162,3
163,1
164,4
165,4
166,2
167,4
168,5
169,3
170,5
171,3
172,3
173,2
174,1
175,4
176,3
177,4
178,4
179,4
180,5
181,2
182,4
183,3
184,4
185,4
186,1
187,4
188,4
189,4
190,4
191,4
192,5
193,4
194,2
195,1
196,3
197,3
198,4
199,5
200,5
201,4
202,1
203,4
204,4
205,4
206,3
207,4
208,3
209,5
210,1
211,2
212,3
213,3
214,1
215,1
216,4
217,4
218,4
219,5
220,4
221,1
222,1
223,3
224,5
225,4
226,3
227,4
228,4
229,4
230,3
231,5
232,2
233,1
234,4
235,1
236,4
237,4
238,4
239,3
240,3
241,4
242,3
243,1
244,4
245,5
246,1
247,2
248,2
249,2
250,5
251,1
252,2
253,4
254,5
255,1
256,5
257,3
258,3
259,1
260,1
261,1
262,3
263,3
264,4
265,3
266,5
267,5
268,2
269,4
270,4
271,3
272,3
273,2
274,1
275,2
276,3
277,3
278,2
279,3
280,1
281,1
282,5
283,2
284,2
285,4
286,5
287,2
