,demand
0,0
1,10
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,9
15,0
16,0
17,0
18,0
19,0
20,9
21,0
22,0
23,0
24,0
25,0
26,0
27,8
28,0
29,0
30,0
31,0
32,7
33,0
34,0
35,0
36,0
37,0
38,9
39,0
40,0
41,0
42,0
43,8
44,0
45,0
46,0
47,0
48,0
49,0
50,7
51,0
52,0
53,0
54,9
55,0
56,0
57,0
58,0
59,8
60,0
61,0
62,0
63,7
64,0
65,0
66,0
67,0
68,10
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,7
82,0
83,0
84,0
85,0
86,6
87,0
88,8
89,0
90,10
91,8
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,6
101,0
102,0
103,9
104,7
105,0
106,0
107,0
108,7
109,0
110,0
111,0
112,0
113,6
114,0
115,0
116,7
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,6
128,0
129,0
130,0
131,0
132,6
133,0
134,8
135,0
136,0
137,6
138,0
139,7
140,0
141,0
142,0
143,9
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,8
152,0
153,7
154,0
155,0
156,0
157,0
158,0
159,10
160,0
161,0
162,0
163,0
164,6
165,8
166,0
167,9
168,0
169,0
170,10
171,0
172,0
173,0
174,0
175,9
176,0
177,7
178,0
179,8
180,0
181,9
182,0
183,0
184,0
185,0
186,0
187,7
188,0
189,10
190,0
191,0
192,0
193,7
194,10
195,0
196,0
197,0
198,9
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,8
209,0
210,0
211,0
212,0
213,0
214,0
215,9
216,0
217,0
218,0
219,0
220,8
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,8
230,0
231,0
232,0
233,10
234,0
235,0
236,0
237,6
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,9
246,0
247,0
248,8
249,0
250,8
251,0
252,8
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,6
261,0
262,0
263,7
264,8
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,7
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,10
287,0
