,demand
0,5
1,1
2,3
3,1
4,2
5,2
6,1
7,5
8,4
9,1
10,2
11,2
12,5
13,2
14,4
15,3
16,4
17,3
18,2
19,4
20,2
21,5
22,5
23,3
24,1
25,5
26,2
27,3
28,3
29,5
30,4
31,1
32,2
33,3
34,1
35,5
36,5
37,4
38,3
39,4
40,3
41,3
42,2
43,1
44,3
45,3
46,5
47,2
48,2
49,5
50,2
51,3
52,3
53,1
54,1
55,4
56,4
57,5
58,5
59,2
60,3
61,1
62,4
63,5
64,3
65,3
66,1
67,1
68,3
69,5
70,1
71,1
72,1
73,2
74,1
75,4
76,1
77,5
78,4
79,5
80,2
81,4
82,2
83,3
84,3
85,3
86,5
87,3
88,4
89,3
90,4
91,5
92,4
93,4
94,1
95,2
96,5
97,1
98,5
99,4
100,2
101,5
102,5
103,1
104,3
105,2
106,2
107,4
108,5
109,5
110,5
111,2
112,1
113,2
114,2
115,5
116,4
117,3
118,5
119,2
120,2
121,1
122,1
123,1
124,4
125,2
126,4
127,3
128,3
129,3
130,5
131,4
132,4
133,3
134,4
135,5
136,3
137,5
138,3
139,3
140,5
141,2
142,4
143,3
144,3
145,2
146,4
147,5
148,2
149,5
150,4
151,1
152,1
153,4
154,4
155,2
156,5
157,2
158,5
159,2
160,4
161,5
162,5
163,3
164,2
165,5
166,2
167,2
168,4
169,1
170,1
171,2
172,5
173,2
174,2
175,2
176,3
177,2
178,1
179,3
180,1
181,5
182,4
183,4
184,4
185,3
186,4
187,5
188,3
189,2
190,5
191,1
192,2
193,1
194,4
195,2
196,2
197,1
198,5
199,4
200,4
201,4
202,3
203,3
204,5
205,2
206,4
207,4
208,2
209,3
210,2
211,2
212,5
213,3
214,5
215,4
216,2
217,5
218,5
219,3
220,1
221,4
222,1
223,5
224,2
225,3
226,2
227,3
228,4
229,5
230,1
231,3
232,3
233,2
234,2
235,4
236,1
237,5
238,4
239,5
240,3
241,1
242,2
243,4
244,1
245,3
246,2
247,1
248,4
249,5
250,2
251,5
252,4
253,1
254,5
255,2
256,3
257,2
258,2
259,1
260,4
261,5
262,5
263,2
264,1
265,1
266,5
267,3
268,3
269,2
270,2
271,4
272,3
273,4
274,1
275,5
276,3
277,2
278,5
279,4
280,4
281,2
282,5
283,4
284,1
285,5
286,3
287,5
