,demand
0,5
1,4
2,1
3,4
4,2
5,5
6,4
7,5
8,3
9,4
10,5
11,2
12,1
13,5
14,1
15,5
16,5
17,1
18,2
19,2
20,3
21,5
22,1
23,1
24,1
25,2
26,3
27,5
28,5
29,4
30,4
31,2
32,3
33,5
34,3
35,2
36,4
37,5
38,3
39,5
40,3
41,2
42,3
43,3
44,5
45,2
46,5
47,2
48,4
49,2
50,2
51,2
52,3
53,2
54,4
55,4
56,1
57,3
58,2
59,3
60,3
61,1
62,3
63,2
64,5
65,4
66,1
67,3
68,2
69,2
70,3
71,3
72,1
73,2
74,4
75,3
76,5
77,5
78,5
79,5
80,5
81,1
82,1
83,4
84,5
85,4
86,3
87,3
88,1
89,1
90,1
91,3
92,3
93,2
94,4
95,2
96,2
97,5
98,2
99,3
100,5
101,5
102,4
103,3
104,1
105,4
106,2
107,5
108,2
109,2
110,3
111,4
112,3
113,2
114,3
115,5
116,3
117,2
118,5
119,5
120,3
121,1
122,2
123,1
124,1
125,2
126,5
127,5
128,2
129,5
130,5
131,5
132,3
133,2
134,2
135,3
136,4
137,5
138,2
139,4
140,4
141,2
142,4
143,4
144,3
145,5
146,3
147,3
148,4
149,1
150,1
151,5
152,5
153,3
154,3
155,4
156,4
157,2
158,2
159,3
160,2
161,3
162,5
163,2
164,4
165,4
166,3
167,5
168,1
169,2
170,5
171,5
172,3
173,5
174,4
175,5
176,5
177,3
178,2
179,2
180,4
181,3
182,2
183,5
184,2
185,4
186,1
187,5
188,2
189,2
190,1
191,5
192,2
193,3
194,5
195,5
196,1
197,1
198,2
199,5
200,4
201,2
202,1
203,5
204,4
205,5
206,3
207,5
208,2
209,5
210,5
211,1
212,4
213,4
214,1
215,1
216,4
217,4
218,1
219,3
220,2
221,5
222,1
223,2
224,2
225,3
226,3
227,1
228,5
229,4
230,1
231,1
232,5
233,1
234,3
235,4
236,1
237,2
238,3
239,4
240,2
241,3
242,4
243,2
244,3
245,5
246,4
247,2
248,4
249,5
250,2
251,4
252,2
253,3
254,1
255,5
256,2
257,3
258,4
259,5
260,4
261,2
262,1
263,2
264,4
265,2
266,4
267,4
268,2
269,4
270,3
271,4
272,2
273,1
274,3
275,2
276,5
277,5
278,3
279,3
280,2
281,5
282,2
283,5
284,4
285,5
286,1
287,2
