,demand
0,0
1,7
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,7
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,6
26,0
27,0
28,0
29,0
30,9
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,7
39,0
40,0
41,0
42,0
43,0
44,0
45,6
46,0
47,0
48,0
49,0
50,0
51,8
52,0
53,0
54,0
55,8
56,0
57,0
58,0
59,6
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,6
73,0
74,0
75,6
76,0
77,0
78,0
79,6
80,8
81,0
82,0
83,6
84,0
85,0
86,6
87,0
88,0
89,0
90,9
91,0
92,10
93,0
94,0
95,10
96,0
97,0
98,0
99,0
100,0
101,7
102,7
103,0
104,8
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,9
114,0
115,0
116,0
117,8
118,0
119,0
120,9
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,7
129,9
130,8
131,0
132,0
133,7
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,9
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,9
152,0
153,0
154,0
155,0
156,9
157,0
158,0
159,0
160,0
161,0
162,10
163,8
164,0
165,7
166,6
167,9
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,8
188,0
189,0
190,0
191,7
192,7
193,8
194,0
195,6
196,0
197,8
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,10
208,9
209,0
210,0
211,0
212,0
213,0
214,8
215,0
216,7
217,7
218,10
219,0
220,9
221,0
222,0
223,8
224,0
225,0
226,0
227,10
228,0
229,0
230,0
231,0
232,0
233,0
234,6
235,0
236,0
237,0
238,10
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,8
258,0
259,0
260,9
261,0
262,9
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,7
272,0
273,0
274,0
275,0
276,0
277,10
278,0
279,0
280,9
281,0
282,6
283,0
284,0
285,0
286,0
287,0
