,demand
0,0
1,7
2,0
3,0
4,0
5,0
6,0
7,7
8,0
9,9
10,0
11,0
12,9
13,0
14,0
15,0
16,0
17,8
18,0
19,0
20,0
21,0
22,0
23,0
24,10
25,0
26,0
27,0
28,9
29,10
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,9
42,0
43,0
44,0
45,0
46,6
47,0
48,0
49,0
50,9
51,6
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,9
73,10
74,0
75,10
76,0
77,0
78,0
79,0
80,0
81,7
82,9
83,7
84,0
85,0
86,0
87,0
88,0
89,9
90,0
91,6
92,0
93,9
94,0
95,0
96,8
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,6
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,10
119,0
120,9
121,0
122,0
123,0
124,10
125,0
126,0
127,9
128,0
129,0
130,0
131,0
132,0
133,0
134,7
135,6
136,0
137,0
138,0
139,7
140,9
141,0
142,7
143,0
144,8
145,10
146,0
147,0
148,8
149,0
150,0
151,0
152,0
153,7
154,10
155,0
156,0
157,0
158,0
159,9
160,0
161,0
162,0
163,10
164,7
165,6
166,0
167,8
168,0
169,0
170,10
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,8
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,7
191,6
192,0
193,0
194,0
195,6
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,6
210,0
211,0
212,9
213,6
214,0
215,0
216,9
217,0
218,9
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,7
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,10
237,0
238,0
239,0
240,8
241,0
242,0
243,0
244,0
245,0
246,10
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,7
262,9
263,0
264,0
265,0
266,0
267,0
268,0
269,9
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,8
287,0
