,demand
0,3
1,2
2,4
3,5
4,1
5,3
6,5
7,1
8,2
9,4
10,5
11,3
12,5
13,1
14,5
15,3
16,5
17,5
18,2
19,3
20,3
21,5
22,2
23,5
24,3
25,3
26,5
27,3
28,2
29,3
30,4
31,2
32,5
33,1
34,2
35,2
36,2
37,2
38,4
39,3
40,2
41,4
42,1
43,3
44,2
45,3
46,3
47,4
48,2
49,4
50,1
51,1
52,5
53,4
54,2
55,2
56,3
57,1
58,5
59,1
60,2
61,4
62,2
63,1
64,1
65,1
66,2
67,5
68,5
69,3
70,3
71,4
72,1
73,3
74,2
75,5
76,1
77,3
78,1
79,3
80,5
81,1
82,1
83,2
84,4
85,5
86,1
87,4
88,5
89,1
90,5
91,1
92,5
93,1
94,5
95,3
96,2
97,4
98,1
99,1
100,3
101,4
102,3
103,1
104,1
105,2
106,5
107,1
108,4
109,5
110,3
111,1
112,4
113,4
114,5
115,3
116,2
117,2
118,5
119,5
120,3
121,3
122,5
123,5
124,4
125,5
126,5
127,5
128,4
129,1
130,1
131,4
132,2
133,4
134,3
135,4
136,2
137,4
138,5
139,2
140,5
141,3
142,1
143,1
144,3
145,5
146,5
147,5
148,1
149,4
150,4
151,4
152,5
153,5
154,2
155,1
156,5
157,4
158,4
159,1
160,5
161,1
162,4
163,1
164,3
165,4
166,1
167,5
168,1
169,3
170,2
171,3
172,4
173,1
174,1
175,3
176,5
177,2
178,5
179,2
180,3
181,5
182,1
183,4
184,5
185,2
186,1
187,5
188,2
189,2
190,4
191,3
192,4
193,4
194,5
195,5
196,4
197,1
198,3
199,3
200,1
201,2
202,2
203,5
204,4
205,2
206,1
207,1
208,1
209,1
210,2
211,5
212,4
213,1
214,5
215,3
216,2
217,5
218,2
219,2
220,1
221,4
222,5
223,3
224,1
225,4
226,3
227,5
228,5
229,1
230,1
231,4
232,1
233,4
234,3
235,4
236,4
237,5
238,2
239,1
240,4
241,3
242,4
243,3
244,3
245,5
246,5
247,4
248,5
249,2
250,5
251,1
252,1
253,5
254,3
255,5
256,1
257,1
258,2
259,5
260,5
261,4
262,4
263,5
264,4
265,2
266,4
267,3
268,3
269,1
270,1
271,1
272,2
273,3
274,2
275,5
276,2
277,3
278,3
279,2
280,3
281,2
282,5
283,2
284,2
285,3
286,1
287,5
