,demand
0,3
1,5
2,4
3,5
4,4
5,3
6,2
7,3
8,1
9,3
10,3
11,1
12,3
13,5
14,1
15,2
16,3
17,5
18,4
19,5
20,4
21,3
22,4
23,4
24,3
25,5
26,2
27,5
28,2
29,5
30,2
31,1
32,4
33,4
34,1
35,2
36,2
37,2
38,2
39,1
40,2
41,1
42,4
43,5
44,1
45,5
46,5
47,4
48,4
49,2
50,1
51,5
52,1
53,2
54,4
55,4
56,1
57,2
58,1
59,5
60,2
61,3
62,3
63,4
64,4
65,2
66,4
67,5
68,3
69,2
70,4
71,5
72,4
73,3
74,1
75,2
76,5
77,4
78,2
79,4
80,5
81,3
82,3
83,3
84,5
85,3
86,1
87,3
88,1
89,3
90,3
91,4
92,1
93,5
94,5
95,4
96,3
97,3
98,2
99,3
100,3
101,1
102,3
103,2
104,5
105,3
106,2
107,4
108,3
109,2
110,5
111,1
112,1
113,3
114,3
115,2
116,1
117,4
118,2
119,3
120,5
121,2
122,3
123,4
124,2
125,4
126,3
127,3
128,3
129,5
130,4
131,4
132,2
133,5
134,3
135,2
136,1
137,4
138,5
139,1
140,1
141,4
142,2
143,5
144,3
145,1
146,3
147,3
148,5
149,5
150,2
151,2
152,2
153,1
154,3
155,5
156,5
157,3
158,4
159,5
160,3
161,4
162,5
163,3
164,5
165,3
166,5
167,5
168,5
169,4
170,3
171,4
172,3
173,4
174,3
175,3
176,5
177,5
178,5
179,5
180,3
181,5
182,4
183,3
184,5
185,3
186,4
187,2
188,1
189,5
190,4
191,5
192,2
193,1
194,3
195,4
196,3
197,1
198,1
199,4
200,1
201,1
202,1
203,2
204,1
205,5
206,3
207,5
208,4
209,4
210,2
211,5
212,1
213,5
214,2
215,4
216,1
217,5
218,1
219,4
220,5
221,4
222,5
223,3
224,1
225,2
226,2
227,5
228,4
229,4
230,1
231,4
232,3
233,2
234,3
235,4
236,2
237,1
238,4
239,2
240,4
241,4
242,2
243,1
244,3
245,4
246,2
247,2
248,4
249,1
250,2
251,3
252,3
253,2
254,2
255,3
256,4
257,2
258,3
259,3
260,1
261,4
262,4
263,5
264,1
265,3
266,3
267,3
268,3
269,3
270,5
271,4
272,5
273,2
274,5
275,2
276,4
277,2
278,4
279,2
280,1
281,5
282,3
283,5
284,1
285,3
286,3
287,3
