,demand
0,3
1,1
2,2
3,5
4,1
5,1
6,4
7,5
8,2
9,4
10,5
11,4
12,1
13,1
14,5
15,1
16,3
17,2
18,5
19,3
20,5
21,4
22,2
23,1
24,2
25,5
26,4
27,3
28,3
29,1
30,4
31,2
32,5
33,2
34,5
35,5
36,5
37,1
38,3
39,3
40,1
41,4
42,2
43,4
44,3
45,1
46,3
47,4
48,1
49,2
50,3
51,5
52,1
53,3
54,5
55,4
56,2
57,5
58,2
59,3
60,2
61,5
62,4
63,3
64,1
65,5
66,1
67,1
68,4
69,3
70,1
71,3
72,3
73,1
74,2
75,5
76,3
77,3
78,1
79,1
80,4
81,4
82,5
83,4
84,1
85,4
86,5
87,5
88,2
89,5
90,5
91,3
92,4
93,4
94,4
95,1
96,3
97,5
98,5
99,5
100,1
101,3
102,3
103,5
104,4
105,5
106,3
107,2
108,4
109,4
110,4
111,3
112,5
113,3
114,5
115,3
116,1
117,1
118,4
119,1
120,3
121,1
122,5
123,3
124,2
125,5
126,2
127,4
128,2
129,4
130,5
131,3
132,5
133,5
134,2
135,4
136,1
137,5
138,3
139,3
140,3
141,2
142,5
143,4
144,1
145,5
146,1
147,2
148,2
149,5
150,5
151,1
152,3
153,1
154,2
155,3
156,2
157,3
158,5
159,3
160,1
161,2
162,4
163,4
164,2
165,4
166,3
167,1
168,4
169,5
170,5
171,5
172,3
173,3
174,4
175,4
176,3
177,4
178,3
179,4
180,4
181,3
182,1
183,4
184,5
185,4
186,2
187,4
188,3
189,3
190,5
191,4
192,1
193,1
194,5
195,1
196,2
197,4
198,5
199,1
200,3
201,5
202,4
203,4
204,5
205,5
206,3
207,4
208,3
209,3
210,3
211,5
212,4
213,4
214,4
215,3
216,5
217,5
218,4
219,4
220,4
221,2
222,5
223,2
224,5
225,4
226,4
227,4
228,2
229,2
230,5
231,1
232,2
233,1
234,3
235,1
236,1
237,4
238,4
239,5
240,2
241,5
242,2
243,2
244,4
245,1
246,5
247,1
248,1
249,1
250,3
251,4
252,3
253,3
254,3
255,3
256,5
257,1
258,3
259,4
260,5
261,1
262,1
263,5
264,5
265,5
266,2
267,3
268,5
269,3
270,3
271,2
272,3
273,5
274,3
275,1
276,5
277,2
278,3
279,4
280,5
281,3
282,1
283,1
284,3
285,2
286,1
287,1
