,demand
0,4
1,4
2,3
3,2
4,3
5,2
6,5
7,2
8,3
9,3
10,2
11,4
12,5
13,5
14,5
15,4
16,2
17,4
18,1
19,3
20,5
21,5
22,3
23,3
24,5
25,5
26,5
27,2
28,5
29,1
30,1
31,1
32,3
33,5
34,1
35,3
36,3
37,4
38,5
39,1
40,1
41,4
42,5
43,4
44,3
45,1
46,2
47,2
48,3
49,2
50,5
51,4
52,1
53,5
54,5
55,2
56,5
57,2
58,2
59,3
60,4
61,1
62,1
63,1
64,5
65,4
66,3
67,4
68,4
69,2
70,1
71,1
72,3
73,1
74,2
75,5
76,3
77,4
78,4
79,2
80,1
81,2
82,4
83,2
84,2
85,2
86,3
87,3
88,2
89,5
90,5
91,4
92,1
93,2
94,2
95,5
96,2
97,4
98,1
99,4
100,5
101,5
102,2
103,3
104,2
105,1
106,3
107,3
108,5
109,4
110,4
111,3
112,4
113,3
114,3
115,2
116,2
117,3
118,3
119,3
120,2
121,5
122,5
123,2
124,5
125,5
126,3
127,1
128,3
129,1
130,4
131,2
132,5
133,2
134,1
135,2
136,1
137,5
138,2
139,5
140,5
141,3
142,5
143,5
144,5
145,5
146,1
147,4
148,5
149,5
150,3
151,3
152,5
153,1
154,3
155,5
156,3
157,5
158,2
159,3
160,3
161,2
162,3
163,4
164,4
165,2
166,2
167,1
168,5
169,3
170,3
171,2
172,3
173,3
174,3
175,3
176,3
177,2
178,5
179,1
180,2
181,1
182,3
183,4
184,4
185,3
186,1
187,2
188,5
189,4
190,5
191,1
192,4
193,3
194,5
195,3
196,2
197,2
198,5
199,3
200,5
201,4
202,4
203,3
204,4
205,2
206,5
207,4
208,1
209,1
210,2
211,1
212,5
213,1
214,5
215,4
216,2
217,2
218,1
219,5
220,2
221,1
222,5
223,2
224,4
225,3
226,1
227,4
228,5
229,3
230,2
231,4
232,2
233,1
234,1
235,3
236,4
237,3
238,5
239,1
240,1
241,1
242,3
243,4
244,5
245,2
246,3
247,2
248,2
249,4
250,2
251,3
252,3
253,4
254,4
255,3
256,4
257,2
258,5
259,4
260,2
261,1
262,1
263,4
264,4
265,3
266,3
267,1
268,2
269,3
270,3
271,4
272,4
273,3
274,1
275,2
276,1
277,3
278,4
279,2
280,5
281,3
282,3
283,2
284,1
285,5
286,1
287,5
